No.,Time,Source,Destination,Protocol,Length,Info,Label
141,"2025-01-12 20:57:22,894767",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
142,"2025-01-12 20:57:22,894920",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
143,"2025-01-12 20:57:22,894985",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
144,"2025-01-12 20:57:22,895073",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
145,"2025-01-12 20:57:22,895323",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
146,"2025-01-12 20:57:22,895417",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
147,"2025-01-12 20:57:22,895476",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
148,"2025-01-12 20:57:22,895518",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
149,"2025-01-12 20:57:22,895549",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
150,"2025-01-12 20:57:22,895597",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
151,"2025-01-12 20:57:22,895650",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
152,"2025-01-12 20:57:22,895694",192.168.1.21,142.250.82.208,UDP,1203,55959  >  3478 Len=1161,1
153,"2025-01-12 20:57:22,895727",192.168.1.21,142.250.82.208,UDP,1203,55959  >  3478 Len=1161,1
154,"2025-01-12 20:57:22,913803",142.250.82.208,192.168.1.21,RTCP,126,Application specific   subtype=13,0
155,"2025-01-12 20:57:22,915651",192.168.1.21,142.250.82.212,UDP,86,58101  >  3478 Len=44,0
156,"2025-01-12 20:57:22,925861",192.168.1.21,142.250.82.208,UDP,1199,55959  >  3478 Len=1157,1
157,"2025-01-12 20:57:22,925956",192.168.1.21,142.250.82.208,UDP,1199,55959  >  3478 Len=1157,1
158,"2025-01-12 20:57:22,925980",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158,1
159,"2025-01-12 20:57:22,926014",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158,1
160,"2025-01-12 20:57:22,926034",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158,1
161,"2025-01-12 20:57:22,926067",192.168.1.21,142.250.82.208,UDP,1200,55959  >  3478 Len=1158,1
162,"2025-01-12 20:57:22,936327",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36,0
163,"2025-01-12 20:57:22,936596",192.168.1.21,142.250.82.208,UDP,1204,55959  >  3478 Len=1162,1
164,"2025-01-12 20:57:22,936674",192.168.1.21,142.250.82.208,UDP,1204,55959  >  3478 Len=1162,1
165,"2025-01-12 20:57:22,964129",142.250.82.208,192.168.1.21,RTCP,130,Application specific   subtype=13,0
166,"2025-01-12 20:57:22,965615",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36,0
167,"2025-01-12 20:57:22,966494",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160,1
